codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
0463-902-1194,1.58,50,Sacola camiseta,,0,0,0.0,39232910,886661621330
0463-902-1195,6.91,50,Sacola para presente,,0,0,0.0,49119900,886661621347
0463-902-1204,367.5,1,Bota masculina de couro marrom nr. 37,,0,0,0.0,64039190,886661748532
0463-902-1205,367.5,1,Bota masculina de couro marrom nr. 38,,0,0,0.0,64039190,886661748556
0463-902-1206,367.5,1,Bota masculina de couro marrom nr. 39,,0,0,0.0,64039190,886661748570
0463-902-1207,367.5,1,Bota masculina de couro marrom nr. 40,,0,0,0.0,64039190,886661748587
0463-902-1208,367.5,1,Bota masculina de couro marrom nr. 41,,0,0,0.0,64039190,886661748624
0463-902-1209,367.5,1,Bota masculina de couro marrom nr. 42,,0,0,0.0,64039190,886661748648
0463-902-1210,367.5,1,Bota masculina de couro marrom nr. 43,,0,0,0.0,64039190,886661748655
0463-902-1211,367.5,1,Bota masculina de couro marrom nr. 44,,0,0,0.0,64039190,886661748662
0463-902-1212,367.5,1,Bota masculina de couro marrom nr. 45,,0,0,0.0,64039190,886661748679
0463-902-1217,278.11,1,Bota feminina de couro marrom nr. 38,,0,0,0.0,64039190,886661748730
0463-902-1219,278.11,1,Bota feminina de couro marrom nr. 40,,0,0,0.0,64039190,886661748754
0463-902-1224,323.87,1,Bota cano baixo cor areia nr. 41,,0,0,0.0,64039190,886661748808
0463-902-1226,323.87,1,Bota cano baixo cor areia nr. 43,,0,0,0.0,64039190,886661748822
0463-902-1227,323.87,1,Bota cano baixo cor areia nr. 44,,0,0,0.0,64039190,886661748839
0463-902-1239,84.0,1,"Camiseta brinde idiomas ""Saúde"" P",,0,0,0.0,61091000,886661616770
0463-902-1240,84.0,1,"Camiseta brinde idiomas ""Saúde"" M",,0,0,0.0,61091000,886661616831
0463-902-1241,84.0,1,"Camiseta brinde idiomas ""Saúde"" G",,0,0,0.0,61091000,886661616848
0463-902-1242,84.0,1,"Camiseta brinde idioma ""Saúde"" GG",,0,0,0.0,61091000,886661616855
0463-902-1243,84.0,1,"Camiseta ""Vai dar tudo certo"" P",,0,0,0.0,61091000,886661616862
0463-902-1244,84.0,1,"Camiseta ""Vai dar tudo certo"" M",,0,0,0.0,61091000,886661616879
0463-902-1245,84.0,1,"Camiseta ""Vai dar tudo certo"" G",,0,0,0.0,61091000,886661616886
0463-902-1246,84.0,1,"Camiseta ""Vai dar tudo certo"" GG",,0,0,0.0,61091000,886661616893
0463-902-1247,84.0,1,"Camiseta ""Se você pode sonhar"" P",,0,0,0.0,61091000,886661616916
0463-902-1248,84.0,1,"Camiseta ""Se você pode sonhar"" M",,0,0,0.0,61091000,886661616923
0463-902-1249,81.9,1,"Camiseta ""Se você pode sonhar"" G",,0,0,0.0,61091000,886661616930
0463-902-1250,84.0,1,"Camiseta ""Se você pode sonhar"" GG",,0,0,0.0,61091000,886661616947
0463-902-1251,315.0,1,Fita isolamento de área STIHL,,0,10,0.0,39201010,886661622061
0463-902-1562,136.5,1,Cadeira de Praia,,0,0,0.0,94017900,795711463243
0463-902-1563,229.04,1,Camisa  cinza manga longa Slim 2,,0,0,0.0,61051000,886661213276
0463-902-1568,229.04,1,Camisa cinza manga longa 6,,0,0,0.0,61051000,886661213320
0463-902-1569,229.04,1,Camisa cinza manga longa 7,,0,0,0.0,61051000,886661213337
0463-902-1570,229.04,1,Camisa cinza manga longa 8,,0,0,0.0,61051000,886661213344
0463-902-1575,203.7,1,Garrafa Térmica Inox Termolar,,0,0,0.0,96170010,886661384778
0463-902-1601,309.8,1,Bota femina nobuck marrom Nr.34,,0,0,0.0,64039190,886661858521
0463-902-1602,309.8,1,Bota femina nobuck marrom Nr.35,,0,0,0.0,64039190,886661858538
0463-902-1603,309.8,1,Bota femina nobuck marrom Nr.36,,0,0,0.0,64039190,886661858545
0463-902-1604,309.8,1,Bota femina nobuck marrom Nr.37,,0,0,0.0,64039190,886661858552
