codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
4002-713-6502,32.39,2,Parafuso com colar M10x1 à esquerda,FS85 FS86 FS88 FS108 FR85 FR106 FR108,1,10,6.5,73181500,795711552886
4002-713-6801,12.11,1,Porca com colar M10x1 à esq.,FS85 FS85R,1,10,6.5,73181600,795711553692
4002-713-6805,17.87,1,Porca com colar M10x1 à esq.,FS85 FS85R,1,10,6.5,73181600,795711537869
4002-713-6810,24.8,1,Porca com colar M 10 x 1,TrimCut C 32-2,1,10,6.5,73181600,886661948277
4002-713-7315,29.45,1,Arruela de comando,FS85 FS85R,1,10,5.2,84679900,795711538149
4002-713-8300,3.43,3,Luva,FS85 FS160 FS220 FS280 FR85,3,10,6.5,76161000,795711538156
4002-713-8301,11.64,1,Luva,FS85 KA85R,1,10,5.2,84679900,795711537401
4002-713-8302,8.06,2,Luva,FS85 FS86 FS88 FS108 FS160 FS220 FR85 FR106 FR108,5,10,3.25,76090000,795711537418
4002-713-8306,13.43,5,Luva,AutoCut C 26-2,1,10,3.25,76169900,886661165186
4002-713-8307,11.64,5,Luva,FS160 FS220 FS290 FS300 FS350 FS380 FS460,1,10,5.2,84679900,886661380466
4002-713-8310,7.52,1,Luva,FS85 FS85R,1,10,5.2,84679900,795711537432
4002-713-8311,10.56,1,Luva,AutoCut 27-2,1,10,5.2,84679900,886661689125
4002-713-9601,87.01,1,Prato superior,FS85 KA85R,1,10,5.2,84679900,795711553159
4002-713-9608,82.87,1,Prato superior,Peças AutoCut 25-2,1,10,5.2,84679900,795711538460
4002-713-9612,91.16,1,Prato superior,Cabeçote de corte DuroCut 20-2,1,10,5.2,84679900,886661621590
4002-713-9700,77.86,1,Prato inferior,FS85,1,10,5.2,84679900,795711553128
4002-713-9701,69.58,1,Prato inferior,FS85 KA85R,1,10,5.2,84679900,795711553135
4002-713-9704,56.37,1,Prato inferior,AutoCut C 26-2,1,10,5.2,84679900,886661165322
4002-713-9708,56.37,1,Prato inferior,Peças AutoCut 25-2,1,10,5.2,84679900,795711553883
4002-713-9712,70.6,1,Prato inferior,,1,10,5.2,84679900,886661600939
4002-713-9715,63.84,1,Prato inferior,FS85 FS85R,1,10,5.2,84679900,795711552930
4002-740-6701,9.23,5,Porca estrela,Trincut 31-2 41-2,1,10,6.5,73181600,795711538095
4002-740-6900,46.27,1,Elemento da bobina c/capa,AutoCut C 26-2,1,10,5.2,84679900,886661255573
4002-820-1500,51.71,1,Carretel,STIHL INC INTR.01 08 2020,1,10,5.2,84679900,886661516711
4002-820-2100,16.56,1,Parafuso do punho,STIHL INC INTR.01 08 2020,1,10,6.5,73181500,886661516667
4002-967-4608,10.08,5,Plaqueta instrutiva,FS85 KA85R,1,10,9.75,39199090,795711553371
4002-997-3800,7.44,1,Mola de pressão,STIHL INC INTR.01 08 2020,1,10,9.75,73202010,886661948109
4003-710-3600,52.87,1,Carcaça da bobina,STIHL INC INTR.01 08 2020,1,10,5.2,84679900,886661948307
4003-710-9601,115.13,1,Prato superior,FS160 FS220 FS290 FS300 FS350 FS380 FS460,1,10,5.2,84679900,886661166404
4003-713-3001,50.5,1,Carretel,FS160 FS220 FS290 FS300 FS350 FS380 FS460,1,10,5.2,84679900,886661166374
4003-713-6500,61.18,1,Parafuso com colar,FS160 FS220 FS280,1,10,6.5,73181500,795711553043
4003-713-6501,30.24,1,"Parafuso com colar M12x1,5 à esquerda",FS160 FS220 FS280 FS290 FS300 FS350,5,10,6.5,73181500,795711538163
4003-713-6800,10.39,5,"Porca com colar M12x1,5 à esq.",FS160 FS220 FS280,1,10,6.5,73181600,795711538170
4003-713-6801,12.68,1,"Porca com colar M12x1,5 esquerda",Reposição cabeçote PolyCut 41-3 303-710-2113,1,10,6.5,73181600,795711538187
4003-713-6804,23.07,1,"Porca com colar M12 x 1,5",TrimCut C 42-2,1,10,6.5,73181600,886661948291
4003-713-8301,8.06,5,Luva,FS85 FS85R FR85 FR220,1,10,3.25,76169900,795711537623
4003-713-9701,90.86,1,Prato inferior,FS160 FS220 FS290 FS300 FS350 FS380 FS460,1,10,5.2,84679900,886661166398
4004-710-4000,18.59,2,Capa,FE55,5,10,5.2,84679900,795711552992
4004-713-8300,3.43,3,Luva,FE55 FS44 FSA65 FSA85,1,10,6.5,76161000,795711537647
4005-007-1001,88.37,1,Placa de proteção,FS160 FS220 FS290 FS300 FS350 FS380 FS460,1,10,5.2,84679900,886661025473
