unnamed_1,unnamed_2,unnamed_3,codigo_material,preco_real,descricao,qtde_min,bateria_recomendada,kit,tensao_carregador,tensao_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,t,ipi,ncm_classif_fiscal,cod_barras
,,,4850-490-0400,65436.0,Sistema de suporte,1.0,,,,,,,,,1.0,0.0,0.0,63079090.0,886661405282.0
,,,EA09-430-5509,669.0,"AL 301, 127 V Carregador rápido de bateria",1.0,127V,,Pode ser utilizado com as bateria da linha AK e AP SYSTEM,,,,,,1.0,10.0,5.0,85044010.0,886661614448.0
,,,EA09-430-5508,669.0,"AL 301, 220 V Carregador rápido de bateria",1.0,220V,,,,,,,,1.0,10.0,5.0,85044010.0,886661614363.0
,,,4850-430-5709,1249.0,"AL 500, 127 V Carregador rápido de bateria",1.0,127V,,Toda linha de produtos a bateria,,,,,18.0,1.0,10.0,5.0,85044010.0,886661478200.0
,,,EA09-430-5708,1249.0,"AL 501, 220 V Carregador rápido de bateria",1.0,220V,,Toda linha de produtos a bateria,,,,,18.0,1.0,10.0,5.0,85044010.0,795711997991.0
,,,4511-400-5607,12008.0,Cabo de carga LK 45 BR,1.0,Bivolt,,HSA45/FSA45/BGA45,,"FSA 45 - 145 / 210
HSA 45 - 145 / 210
BGA 45 - 210 / 300",,,,1.0,10.0,5.0,85044010.0,886661456932.0
,,,4515-400-6500,24449.0,Bateria HSA 25,1.0,-,,Compatível apenas com HSA 25,,,180,,,1.0,0.0,1125.0,85076000.0,886661183852.0
,,,4515-430-2508,23546.0,Carregador HSA 25,1.0,bivolt,,,,,,,,1.0,10.0,5.0,85044010.0,886661366965.0
,,,,,,,,,,,1,HA03-011-3509,,849.0,,,,,
,,,,,,,,,,,1,EA02-400-6500,,189.0,,,,,
,,,,,,,,,,,1,EA03-430-2508,,189.0,,,,,
,,,,,,,,,,,,,,1227.0,,,,,
